metric,true_relative_effect,n_total,estimator,replications,power,power_lo,power_hi,mean_se,effective_variance
conversion_p04,0.075,93768,diff_in_means,1500,0.6213333333333333,0.5965060961337747,0.6455406953447944,0.00130242681401657,0.03976503043278938
conversion_p04,0.075,133954,diff_in_means,1500,0.788,0.766593712020732,0.8079349358844434,0.0010897978223804504,0.0397729282559061
conversion_p04,0.075,187536,diff_in_means,1500,0.9073333333333333,0.8916007201325461,0.9209849369740793,0.0009209600514467926,0.03976548114866345
conversion_p04,0.075,254514,diff_in_means,1500,0.9626666666666667,0.9518307049496499,0.9711389284906089,0.0007905658622229964,0.03976745506768959
conversion_p04,0.075,46884,lin_adjusted,1500,0.47733333333333333,0.4521464595955274,0.502636007930454,0.0015943358220915987,0.02979368859015827
conversion_p04,0.075,66978,lin_adjusted,1500,0.6206666666666667,0.5958327507504623,0.6448841133024007,0.0013337876680121533,0.029788290408478364
conversion_p04,0.075,93768,lin_adjusted,1500,0.7666666666666667,0.7445980289683917,0.7873729413141782,0.001127043809677921,0.029776678890494925
conversion_p04,0.075,133954,lin_adjusted,1500,0.8913333333333333,0.8745724531026949,0.9060949457869764,0.0009431484742463946,0.029788993405844177
conversion_p04,0.075,187536,lin_adjusted,1500,0.97,0.9600945147964701,0.9775043203265592,0.0007969936022887142,0.029780660637147294
conversion_p04,0.075,254514,lin_adjusted,1500,0.9926666666666667,0.9869160908041851,0.9959002767928627,0.0006841876062733364,0.02978530769615969
conversion_p04,0.075,46884,post_stratified,1500,0.43333333333333335,0.4084579972564933,0.4585492601728643,0.001700318766748411,0.03388639449219469
conversion_p04,0.075,66978,post_stratified,1500,0.5753333333333334,0.5501579447103062,0.6001238543945198,0.0014226114064156464,0.03388790780119523
conversion_p04,0.075,93768,post_stratified,1500,0.7026666666666667,0.6790414900159882,0.7252564473987648,0.0012021548509521024,0.033877822488621555
conversion_p04,0.075,133954,post_stratified,1500,0.852,0.8331310884654884,0.8690705923075038,0.00100587718020251,0.033883292632978124
conversion_p04,0.075,187536,post_stratified,1500,0.9433333333333334,0.9304607247282382,0.9539410133665343,0.0008500344896174156,0.03387643897484905
conversion_p04,0.075,254514,post_stratified,1500,0.9866666666666667,0.97949473371323,0.99135228705246,0.0007297051236276425,0.03388023987239262
