metric,target_rho,realised_rho_mean,realised_rho_sd,n_total,estimator,replications,variance,variance_ratio,theoretical_ratio,empirical_variance_of_estimates,sample_size_ratio,users_saved_pct
sessions_m3,0.5,0.49987158831806755,0.003264327291625846,100000,lin_adjusted,800,0.0004274711109629851,0.7501495827674373,0.75,0.0004087309911508079,0.7501495827674373,24.985041723256273
sessions_m3,0.6,0.5999335550230227,0.002821269105301386,100000,lin_adjusted,800,0.0003649337710145232,0.6401013823158183,0.64,0.00033155904315568035,0.6401013823158183,35.98986176841817
sessions_m3,0.7,0.6999743390088478,0.0024579326363269615,100000,lin_adjusted,800,0.0002907051914384236,0.5100495521967862,0.51,0.00029386318551313643,0.5100495521967862,48.995044780321386
sessions_m3,0.8,0.8000876791125444,0.0017614998820571057,100000,lin_adjusted,800,0.00020518896003412002,0.3598679228195413,0.3599999999999999,0.00019976629816498162,0.3598679228195413,64.01320771804588
sessions_m3,0.9,0.8999363349496451,0.0009454465737973933,100000,lin_adjusted,800,0.00010832984261380116,0.1901208341578579,0.18999999999999995,0.00010721983670165668,0.1901208341578579,80.9879165842142
sessions_m3,0.0,4.343002388413726e-05,0.0030453166073467312,100000,post_stratified,800,0.0005701395499530045,1.0000381207649907,1.0,0.0005704514692768071,1.0000381207649907,-0.0038120764990656753
sessions_m3,0.1,0.10009284134477003,0.0036242487361725327,100000,post_stratified,800,0.0005639395944339608,0.9890808350308625,0.99,0.0005326211988216286,0.9890808350308625,1.0919164969137474
sessions_m3,0.2,0.19999577475712918,0.003596737924972697,100000,post_stratified,800,0.0005464330527222045,0.958862725464018,0.96,0.0005484705309437462,0.958862725464018,4.113727453598203
sessions_m3,0.3,0.2998043836757435,0.0036299983272712034,100000,post_stratified,800,0.0005200595419602951,0.9123217146895475,0.91,0.0004721924458656991,0.9123217146895475,8.767828531045252
sessions_m3,0.4,0.40006550132953783,0.003590408293757255,100000,post_stratified,800,0.00048518279142971616,0.8513257760357501,0.84,0.0004863411364507587,0.8513257760357501,14.86742239642499
sessions_m3,0.5,0.49987158831806755,0.003264327291625846,100000,post_stratified,800,0.0004430568610723659,0.7775003057562521,0.75,0.00042382914904413535,0.7775003057562521,22.249969424374793
sessions_m3,0.6,0.5999335550230227,0.002821269105301386,100000,post_stratified,800,0.00039427527373053707,0.6915669849525126,0.64,0.0003609896350399105,0.6915669849525126,30.843301504748744
sessions_m3,0.7,0.6999743390088478,0.0024579326363269615,100000,post_stratified,800,0.00033860438838255203,0.5940898950302002,0.51,0.0003428313297846029,0.5940898950302002,40.59101049697998
sessions_m3,0.8,0.8000876791125444,0.0017614998820571057,100000,post_stratified,800,0.00027667861776000063,0.48524910621563927,0.3599999999999999,0.0002665836320910567,0.48524910621563927,51.47508937843608
sessions_m3,0.9,0.8999363349496451,0.0009454465737973933,100000,post_stratified,800,0.00020841801083349684,0.365777380610149,0.18999999999999995,0.0002028658878860171,0.365777380610149,63.4222619389851
